///Russian Translations Mods (3348967878)///
Rus_Translations-name|Перевод модов на русский
Come back next cycle, and I will have it done by then.|Приходи в следующем цикле, и к тому времени я всё сделаю.
///Tsuno - Batnip Lure
It is a simple depiction of a fern-like plant. I believe that it is a fly lure, which was used often to lure away pests from areas where their continuous presence would be damaging.|Это простое изображение растения, похожего на папоротник. Я полагаю, что это приманка для мух, которую часто использовали,<LINE>чтобы выманить вредителей из районов, где их постоянное присутствие могло бы нанести вред.
I believe it is beneficial for you, however, as it definitely makes catching them easier!|Однако я считаю, что это полезно для тебя, так как определенно облегчает их поимку!
///ArtisticDragon1292 - big shoe lmfao
I... I’m afraid I do not understand the meaning of this. Are you trying to tell me that you like your apparel? It is very nice, yes.|Я... Боюсь, я не понимаю смысла этого. Ты пытаешься сказать мне, что тебе нравится твоя одежда? Да, она очень красивая.
///Tsuno - Lil Moon
...Is that me? It is quite adorable, thank you!|...Это я? Это просто восхитительно, спасибо!
I'm touched that you would take time out of your cycle just to draw my puppet, little friend.|Я тронута тем, что ты выкроил время из своего цикла только для того, чтобы нарисовать мою куклу, маленький друг.
However... I find it unfortunate that you had to paint it in such an unlucky spot. Maybe you could recreate it outside of my chamber next time?|Однако... Мне очень жаль, что тебе пришлось рисовать это в таком неудачном месте.<LINE>Может быть, в следующий раз ты мог бы воссоздать это за пределами моей комнаты?
///ArtisticDragon1292 - Illegible Neon Signs
Oh... I see you tried to imitate letters of an ancient language, which you likely encountered at some point during your time outside.|Ой... Я вижу, ты пытался имитировать буквы древнего языка, с которым, вероятно, когда-то сталкивался, находясь снаружи.
While this is a great attempt, little scholar, what you wrote here is illegible. Would you like me to teach you how to write properly? You appear intelligent enough to understand a few words.|Несмотря на то, что это отличная попытка, маленький ученый, то, что ты здесь написал, неразборчиво.<LINE>Хочешь, я научу тебя правильно писать? Ты, кажется, достаточно умён, чтобы понять несколько слов.
///Still-Icarus - Death be Upon Ye
This piece is... Incredibly chaotic, with how many colors were used.|Это произведение искусства... Невероятно хаотично, учитывая, сколько цветов было использовано.
I do believe it was intended, however, due to the nature of this particular picture.|Однако я действительно верю, что так было задумано из-за характера этой конкретной картины.
I am impressed by the details on the can as well.|Я также впечатлена деталями на банке.
///Salami_Hunter - Jeffry Squeeze
...I do not enjoy the look of this piece of art. The implications might be not intended, but I will be removing it from my walls despite that.|...Мне не нравится, как выглядит это произведение искусства. Возможно, это не совсем так, но, несмотря на это, я уберу его со своих стен.
///Salami_Hunter - Observing Worms
Is it... An overseer? They usually aren't this colorful, you see.|Это... Наблюдатель? Видишь ли, обычно они не такие яркие.
You definitely had some creative ideas while making this one, didn't you?|У тебя определенно были какие-то творческие идеи, когда ты создавал эту картину, не так ли?
///SunnyBoi - Surprise
I'm surprised you know about the existence of those, little friend.|Я удивлена, что ты знаешь о их существовании, маленький друг.
They hide so incredibly well, usually in really dark areas, it must've been hard to get a good look at one.|Они так хорошо прячутся, обычно в очень тёмных местах, что, должно быть, было трудно как следует их разглядеть.
///quarter - Outlawed!
Ah, do you view yourself as an outlaw?|Ах, ты считаешь себя преступником?
Well, to Five Pebbles you might be~|Что ж, с Пятью Гальками ты мог бы быть...
///hoko - overseercut
Ah... I see you do not enjoy the presence of our overseers? Despite your distaste for them, I would appreciate it if you did not advocate for violence against beings that are a part of me.|Ах... Я вижу, тебе не нравится присутствие наших наблюдателей?<LINE>Несмотря на твою неприязнь к ним, я была бы признательна, если бы ты не выступал за насилие в отношении существ,<LINE>которые являются частью меня.
They are our eyes, after all, and scavengers already hunt them plenty without your guidance.|В конце концов, они — наши глаза, и мусорщики уже вдоволь поохотились на них без твоего руководства.
Do not encourage them further.|Не поощряй их дальше.
///Tiny Slugcat - Vinki Approved
It's you. I cannot say that I recognize the gesture your hand is making, however.|Это ты. Однако я не могу сказать, что узнаю жест, который делает твоя рука.
Given the smile on your face, is it something pleasant?|Судя по улыбке на твоём лице, это что-то приятное?
///Tsuno - City View
What a pleasing picture! The colors are quite vibrant and work together well.|Какая приятная картинка! Цвета довольно яркие и хорошо сочетаются друг с другом.
Is this Five Pebbles' city, viewed from afar?|Это город Пяти Галек, если смотреть на него издалека?
I have a feeling he would enjoy this one... If it was painted over proper canvas, and not my chamber walls.|У меня такое чувство, что ему бы понравилась эта картина...<LINE>Если бы она была написана на нормальном холсте, а не на стенах моей комнаты.
///Hessi - I Smoked Wheelflower
What happened to this poor creature? Is this a wheel flower that has coiled around them?|Что случилось с этим бедным созданием? Это колёсник, который обвился вокруг него?
Does this represent your intolerance for the use of this hallucinogenic plant? My creators would eat them often, so I wonder why you are against it.|Означает ли это, что ты не переносишь употребление этого галлюциногенного растения?<LINE>Мои создатели часто употребляли его в пищу, поэтому мне интересно, почему ты против этого.
///Salami_Hunter - Blek le Scav
Is it the face of a particular scavenger you met on your travels, or did you take artistic liberty with the depiction?|Это лицо какого-то конкретного мусорщика, которого ты встретил во время своих путешествий,<LINE>или ты допустил художественную вольность при его изображении?
I'm sure they would enjoy having the portrait somewhere they could actually see it, little friend.|Я уверена, что им бы понравилось, если бы этот портрет был где-нибудь, где они могли бы его увидеть, маленький друг.
///Tsuno - Leviathan Jaws
Oh! Is this the maw of a leviathan? I wonder where you saw it, considering they live in really deep waters! They are quite big, after all.|Ох! Это что, пасть левиафана? Интересно, где ты его видел, учитывая, что они живут в очень глубоких водах!<LINE>В конце концов, они довольно большие.
I truly hope you never swam in deep waters too close to them.|Я искренне надеюсь, что ты никогда не плавал в глубоких водах слишком близко к ним.
///quarter - Pinhead
It is you, with several letters originating from my creator’s lexicon.|Это ты, и несколько букв взятх из лексикона моих создателей.
I wonder if you know what they mean, or if they are nothing but interesting shapes to you. Do they represent your thoughts throughout each cycle?|Интересно, знаешь ли ты, что они означают, или для тебя это просто интересные формы?<LINE>Отражают ли они твои мысли на протяжении всего цикла?
///N0TKYU - Buckled Up
Ah yes, your shoes. It seems like you admire them greatly.|Ах да, твоя обувь. Похоже, ты ей очень восхищаешься.
I hope that you enjoyed my short history lesson about where they came from.|Я надеюсь, что тебе понравился мой краткий урок истории о том, откуда она взялась.
If you return next cycle, I could tell you some more about them.|Если ты вернёшься в следующем цикле, я мог бы рассказать тебе о них подробнее.
///Tsuno - Crybaby
...What a poor little thing! This creature looks very sad.|...Что за бедняжка! Это создание выглядит очень печальным.
Is it just how you view those organisms, or is it based on something? Maybe you are silently projecting your feelings onto them?|Это просто твоё представление об этих организмах, или оно на чем-то основано?<LINE>Может быть, ты молча проецируешь на них свои чувства?
Or... You are simply mean to them.|Или... Ты просто плохо к ним относишься.
They are purposed organisms, previously kept within silver cages all their lives to light up otherwise dark areas, so they might not be the most stable now that they were freed from their duty.|Это специально созданные организмы, которых раньше всю жизнь держали в серебряных клетках, чтобы они освещали темные участки,<LINE>поэтому теперь, когда их освободили от своих обязанностей, они, возможно, не самые стабильные.
I suppose their life might be better with freedom, although I can't help but wonder what their quality of life is like, outside of their initial purpose.|Я полагаю, что их жизнь могла бы стать лучше, если бы они были свободны, хотя я не могу не задаваться вопросом,<LINE>каково качество их жизни за пределами их первоначальной цели.
Poor creatures. And yet... They survived for so long.|Бедные создания. И всё же... Они прожили так долго.
///Tsuno - Slugcat Moon
Is... Is it me?|Это... Это я?
As one of you?|Как одна из вас?
While I appreciate the thought, I must deeply apologize, as I am unfortunately a completely different organism. |Хотя я ценю твою мысль, я должна глубоко извиниться, поскольку, к сожалению, я совершенно другой организм.
My puppet might look mildly similar to you - which I truly do not see - but it is not my actual body. It is simply what I was given to express myself and speak to my creators directly.|Моя кукла может быть немного похожа на вас — чего я на самом деле не вижу, — но это не моё настоящее тело.<LINE>Это просто то, что мне дали, чтобы я могла выразить себя и напрямую общаться со своими создателями.
My true body is this entire structure that you are walking through, which might be difficult for you to comprehend.|Моё истинное тело — это вся эта структура, через которую ты проходишь, и которую тебе, возможно, будет трудно понять.
I'm sorry I cannot be one of you, little friend.|Мне жаль, что я не могу быть одной из вас, маленький друг.
///Tsuno - Overseer Kiss
...I'm afraid I don't understand?|...Боюсь, я чего-то не понимаю?
I can tell that those are meant to be overseers of my neighbor, Five Pebbles, exchanging information.|Я могу сказать, что это должны быть наблюдатели моего соседа, Пяти Галек, которые обмениваются информацией.
However... I can't tell what those red symbols are meant to portray in this context.|Однако... Я не могу сказать, что означают эти красные символы в данном контексте.
I have a feeling I don't want to know.|У меня такое чувство, что я не хочу этого знать.
///Tsuno - Neuron Dance
It is a very accurate depiction of a part of our systems.|Это очень точное описание части наших систем.
As much as I appreciate the attention to detail, I would prefer it if you didn't spend too long inside of our systems, snacking on our neurons.|Как бы я ни ценила внимание к деталям, я бы предпочла, чтобы ты не проводил слишком много времени в наших системах, питаясь нашими нейронами.
Neither I nor Pebbles enjoy the feeling of having pieces of our bodies scratched up and eaten, I hope you understand.|Надеюсь, ты понимаешь, что ни мне, ни Гальке не доставляет удовольствия ощущение того, что от наших тел отрывают и съедают кусочки.
///Tsuno - Holy Gooieduck
I believe that this piece is based on an ancient species of dangling mold?|Я полагаю, что это произведение основано на древнем виде свисающей плесени?
The spores they squirt out were said to have an overwhelming odor, which works as great repellent for the carnivorous colonies of stationary worm species.|Говорят, что споры, которые они выбрасывают, обладают сильным запахом,<LINE>который служит отличным репеллентом для колоний плотоядных неподвижных видов червей.
Is that what you were trying to depict? If yes, I suppose you succeeded.|Это то, что ты пытался изобразить? Если да, то, полагаю, тебе это удалось.
///raintailed - Star Fighter
It is you wearing a purple top with a star on its back. There are several other stars and nebulae around you.|Это ты в фиолетовом топе со звездой на спине. Вокруг тебя есть несколько других звезд и туманностей.
This reminds me of a certain debate between some of my creators during my youth. Some missed the time before iterators and being able to visit the sea more often.<LINE>Others were glad to live so high up, being able to see the stars all the better.|Это напоминает мне об одном споре между некоторыми из моих создателей во времена моей юности.<LINE>Некоторые скучали по тому времени, когда ещё не было итераторов, и по возможности чаще бывать на море.<LINE>Другие были рады жить так высоко, что могли лучше видеть звёзды.
Eventually it devolved into a meaningless dispute about whether the stars or the sea were more beautiful. It appears you would be on the stars' side of the debate.|В конце концов, это вылилось в бессмысленный спор о том, что красивее — звёзды или море.<LINE>Похоже, ты был бы на стороне звёзд в этом споре.
///Tsuno - Spore Bombs///
Why would you draw a centipede next to this specific species of fungus? It is incredibly toxic to all insects!|Почему ты нарисовал сороконожку рядом с этим специфическим видом гриба?<LINE>Он невероятно токсичен для всех насекомых!
That poor creature... It appears to me they know that if their scared eyes are any indicator.|Бедное создание... Мне кажется, они знают об этом, если судить по их испуганным глазам.
Poor little thing.|Бедняжка.
///zirfal - Society Makes You Wear Pants
Is this your interpretation of how my creators appeared? It is very interesting how your understanding of them is shaped by other graffiti you have seen.|Это твоя интерпретация того, как выглядели мои создатели?<LINE>Очень интересно, как на твоё представление о них повлияли другие граффити, которые ты видел.
I am sure you would like for me to tell you if your interpretation is correct or not. But, that would take all of the fun out of it, little creature!|Я уверена, ты бы хотел, чтобы я сказала тебе, верна ли твоя интерпретация или нет.<LINE>Но это лишило бы меня всего удовольствия, маленькое создание!
///Natex008 - Guess Who Was Here
...I do not believe you understand our written language very well, but this is cute nonetheless!|...Я не верю, что ты хорошо понимаешь наш письменный язык, но, тем не менее, это мило!
Would you like to know what you wrote? \"Our main needs more castrophony. Eighty-four!\|Хотел бы ты знать, что ты написал? «Нашему мейну нужно больше кастрофонии. Восемьдесят четыре!»
Castrophony? I do not believe that's even a word. It sounds like something one of the musical artists in my city would invent to sound clever.|Кастрофония? Я не верю, что это вообще такое слово.<LINE>Похоже на то, что придумал один из музыкантов в моём городе, чтобы звучать умно.
Apologies, little creature. I wish I could teach you our language, but I'm afraid that I do not have the time.|Прошу прощения, маленькое создание. Я бы хотела научить тебя нашему языку, но, боюсь, у меня нет на это времени.
///JayDee - Pipe Slug
What a fun-looking creature! I don't really recognize it, but it looks quite interesting.|Какое забавное создание! Я действительно не узнаю его, но выглядит оно довольно интересно.
Have you seen it somewhere, or created it? If it was created by you, then you have a great imagination, little friend.|Ты где-нибудь это видел или придумал? Если это придумал ты, значит, у тебя богатое воображение, дружок.
...Although I am a bit curious about the choice of symbol you drew.|...Хотя мне немного любопытно, какой символ ты нарисовал.
///Tsuno - Jetfish Friend
This one looks adorable!|Это выглядит очаровательно!
Those creatures are usually quite mean, pushing other organisms underwater, which quickly becomes a risk of drowning for those unlucky few. Although I wouldn't mind becoming a friend of this one in particular.|Эти существа обычно довольно злобные, они загоняют другие организмы под воду,<LINE>что быстро приводит к риску утонуть для тех немногих, кому не повезло.<LINE>Хотя я была бы не прочь подружиться именно с этим существом.
///NoneHereF - Monk Yolk
I'm unsure of what this piece is meant to portray. I apologize, but I do not recognize the symbols.|Я не уверена, что именно изображено на этом рисунке. Прошу прощения, но я не узнаю символы.
///Tsuno - Dropwig Thief
Ah... Did those creatures steal your tools, and you felt the need to immortalize them forever?|Ах... Неужели эти существа украли твои инструменты, и ты почувствовал необходимость увековечить их навсегда?
They are known for picking up items and food they find, not to use, but to lure unlucky scavengers into a trap. They use their incredibly heavy bodies to drop onto their prey and stun it, before injecting it with venom!|Они известны тем, что подбирают найденные предметы и еду не для того, чтобы использовать, а чтобы заманить неудачливых мусорщиков в ловушку.<LINE>Они используют свои невероятно тяжёлые тела, чтобы броситься на добычу и оглушить её, прежде чем впрыснуть в неё яд!
Did you know that the small oval plates over their back are as heavy and strong as metal?|Знаешь ли ты, что маленькие овальные пластины на их спине такие же тяжёлые и прочные, как металл?
I would advise you to be careful around randomly placed, useful objects in an otherwise empty area, but I'm sure you already know that.|Я бы посоветовала тебе быть осторожнее с случайно расположенными полезными предметами в пустой области, но я уверена, что ты уже знаешь об этом.
///NoneHereF - Vink and Vroom
It is your face, drawn over a green flame.|Это твоё лицо, нарисованное над зеленым пламенем.
Is it a self-portrait? It definitely is more odd than regular portraits.|Это автопортрет? Он определенно более странный, чем обычные портреты.
///ItsZeroThree - Seraphim
I'm not entirely sure what it is meant to depict. A triangle? Maybe a prism?|Я не совсем уверена, что это должно изображать. Треугольник? Может быть, призма?
...Do you know what a prism is? I would explain, but I'm not sure how much you would understand.|...Ты знаешь, что такое призма? Я бы объяснила, но не уверена, что ты многое поймёшь.
I'm most likely wrong about my interpretation as well.|Скорее всего, я тоже ошибаюсь в своей интерпретации.
///Backslash - Triangulated
Oh, it seems that you are dabbling in geometric art? It is certainly an interesting way to depict yourself.|Ох, кажется, ты увлёкся геометрическим искусством? Это, безусловно, интересный способ изобразить себя.
///Tsuno - Angry Pinecone
Oh. I would advise you to be careful around those if you see them around, little creature.|Ой. Я бы посоветовала тебе быть осторожнее с ними, если ты увидишь их поблизости, маленькое создание.
Despite looking like plants, they are actually beehives, full of incredibly aggressive insects that will attack any nearby creature.|Несмотря на то, что они выглядят как растения, на самом деле это ульи, полные невероятно агрессивных насекомых,<LINE>которые нападут на любое находящееся поблизости существо.
I highly recommend taking another route when you see one in your path.|Я настоятельно рекомендую выбрать другой маршрут, если ты увидишь их на своём пути.
///Natex008 - Vinkastik Tunez
You are listening to music on a large set of headphones. Are you wishing for a set like this? I doubt you could move very well with those.|Ты слушаешь музыку в больших наушниках. Ты мечтаешь о таких наушниках? Сомневаюсь, что ты смог бы хорошо двигаться в них.
Actually, that brings up a good question. Do those headphones of yours even work? I'm unsure that they would be operable after all this time...|Вообще-то, в связи с этим возникает хороший вопрос. Эти твои наушники вообще работают?<LINE>Я не уверена, что они будут работать после стольких лет...
///JayDee - VinKee
Is it a self portrait I see? It is very accurate, I must admit.|Это автопортрет, который я вижу? Должна признать, он очень точный.
///4slugcats - Speed of Sound
That is... Incredibly detailed. More so than most of your regular pieces. You seem incredibly proud of it, and I can understand why.|То есть... Невероятно подробный. В большей степени, чем в большинстве твоих обычных работ.<LINE>Ты, кажется, невероятно гордишься этим, и я могу понять почему.
Are you sure you wouldn’t enjoy painting with proper canvas more, instead of my chamber walls? I can’t imagine this background was pleasant to create over segmented tiles.|Ты уверен, что тебе не понравилось бы рисовать на обычном холсте, а не на стенах моей комнаты?<LINE>Не могу представить, что было бы приятно создавать этот фон поверх фрагментированной плитки.
///Kiwi - Alien Plant
An impressive use of perspective! Is this a plant you have encountered during your travels?|Впечатляющее использование перспективы! Это растение ты встречал во время своих путешествий?
///Tsuno - Dandelion Peaches
It looks to me like the fruit of a feathery plant. Have you imagined it, or got inspired by an existing plant?|На мой взгляд, это похоже на плод перистого растения. Ты придумал это или вдохновился уже существующим растением?
It appears to me this species might have evolved recently, as I have never seen one before.|Мне кажется, что этот вид, возможно, появился недавно, поскольку я никогда раньше его не видела.
It is familiar, so with a little bit of cross-referencing I could possibly find its ancestors, which would be a nice little project to pass some time.|Он мне знаком, так что, проведя небольшое количество перекрёстных ссылок, я, возможно, смогла бы найти его предков,<LINE>что было бы неплохим небольшим проектом, позволяющим скоротать время.
Where have you seen those, little creature? I would like to refresh my database with new entries.|Где ты его видел, маленькое создание? Я бы хотела обновить свою базу данных новыми записями.
///Tsuno - Gold Skull
Do you know the meaning of the symbol you just painted?|Знаешь ли ты значение символа, который ты только что нарисовали?
In this particular context, it means that the creature on the art piece is violent and dangerous, as it wishes harm upon you.|В данном конкретном контексте это означает, что существо на произведении искусства является жестоким и опасным,<LINE>поскольку оно желает тебе зла.
I wonder where you saw that symbol, and what exactly made you want to recreate it. Maybe my overseers?|Интересно, где ты увидел этот символ и что именно заставило тебя захотеть воссоздать его.<LINE>Может быть, мои наблюдатели?
They are known for helping friendly creatures out every so often.|Они известны тем, что время от времени помогают дружелюбным существам выбраться наружу.
///Skrybl - Just a Lil Doodle
I apologize, but I do not recognize any of those symbols.|Прошу прощения, но я не узнаю ни один из этих символов.
///Beep - 5P or QT
That is... surely an interesting piece of art. Although I would highly prefer not to see it. As Five Pebbles' senior and close neighbor, it feels disrespectful to have such images of him on my chamber walls.|Это... несомненно, интересное произведение искусства. Хотя я бы предпочла его не видеть.<LINE>Мне, как старшему и близкому соседу Пяти Галек, кажется неуважительным, что его изображение висит на стенах моей комнаты.
I apologize, but I have to remove it.|Я приношу свои извинения, но я должна удалить его.
///Tsuno - Garbage Alarm
That is... Such an interesting depiction of one of many purposed organisms used for recycling waste materials. Is that a spear, stuck to the back of their head?|Это... Такое интересное изображение одного из многих организмов, предназначенных для переработки отходов.<LINE>Это что, копье, воткнутое ему в затылок?
...Is this picture based on first-hand experience?|...Основана ли эта картина на личном опыте?
Those beings can hold grudges for quite a while. I don't envy you, little friend.|Эти существа могут долго таить обиду. Я не завидую тебе, маленький друг.
///Tsuno - Loud Pebbles
...I truly do not understand your insistence on drawing Five Pebbles with those ears.|...Я действительно не понимаю, почему ты так настаиваешь на том, чтобы нарисовать Пять Галек с этими ушами.
You are aware that neither of us have ears, aren't you? I do not see any reason why you would continue painting him with those elements.|Ты ведь знаешь, что ни у кого из нас нет ушей, не так ли? Я не вижу причин, по которым ты продолжал бы изображать его с такими элементами.
Unless you managed to find some... Questionable outfits, left behind by our creators, and used them as an inspiration. In that case, please find different inspirations.|Если только тебе не удалось что-то найти...<LINE>Сомнительные наряды, оставленные нашими создателями, послужили источником вдохновения.<LINE>В таком случае, пожалуйста, найди другие варианты вдохновения.
///raintailed - Green Vulture
It is a simplistic drawing of a green vulture. I can applaud you for the complex perspective you managed to portray with the head, but unfortunately, there is not much more I can say about it.|Это упрощённый рисунок зелёного стервятника.<LINE>Я могу поаплодировать тебе за сложную перспективу, которую тебе удалось изобразить с помощью головы,<LINE>но, к сожалению, больше я ничего не могу сказать по этому поводу.
///Salami_Hunter - Lizzilla
This lizard looks very angry! I wonder what you did to cause it to be so mad at you.|Эта ящерица выглядит очень злой!<LINE>Интересно, что ты такого сделал, что она так разозлилась на тебя?
I know some variations of lizards can spit sticky mucus at their prey, but a beam of energy would be incredibly dangerous. Stay safe, little friend!|Я знаю, что некоторые разновидности ящериц могут плеваться липкой слизью в свою жертву,<LINE>но энергетический луч был бы невероятно опасен. Береги себя, маленький друг!
///BreadwardBolero - RIP Bozo
It is the head of a white lizard, possibly portraying it as deceased. Now, why would you draw it, I wonder? Have you won any battles recently that you are proud of?|Это голова белой ящерицы, возможно, изображающей её умершей. Интересно, зачем ты её нарисовал?<LINE>Ты недавно выиграл какие-нибудь сражения, которыми гордишься?
///Tsuno - Noodle Spears
It is a depiction of an angered mother with two children, ready to attack. Or maybe they are teaching their children how to fight?|Это изображение разгневанной матери с двумя детьми, готовой к нападению.<LINE>Или, может быть, она учит своих детей драться?
I imagine it would really hurt being pierced by that! Hopefully, you were never a target for their anger or their training.|Я представляю, как тебе было бы больно, если бы тебя пронзили таким образом!<LINE>Надеюсь, ты никогда не был мишенью для их гнева или обучения.
You probably know better what this was meant to depict than I do, as you are the artist of this piece.|Ты, вероятно, лучше меня знаешь, что здесь должно было быть изображено, поскольку ты — художник этого произведения.
///Salami_Hunter - Worm Thinketh
I don't really recognize this creature, but it is very close to various abstract paintings I have seen my creators make.|Я действительно не узнаю это существо, но оно очень похоже на различные абстрактные картины, которые я видела у своих создателей.
I believe you got inspired by them at least a little bit, didn't you? It is surprisingly close in style.|Я думаю, они тебя хотя бы немного вдохновили, не так ли? Они удивительно близки по стилю.
///Tsuno - Yeeked Up
Such an accurate depiction of a little creature! Did you know that they have much stronger muscles within their tails than any other creature? Such interesting purposed organisms!|Такое точное изображение маленького существа!<LINE>А ты знал, что у них на хвостах гораздо более сильные мышцы, чем у любого другого существа?<LINE>Такие интересные организмы с необычным назначением!
I wish I could keep this art piece up, but unfortunately, I have to keep my walls clean.|Я бы хотела сохранить это произведение искусства в первозданном виде, но, к сожалению, мне приходится содержать свои стены в чистоте.
I apologize once again.|Я ещё раз приношу свои извинения.
///JayDee - SRSside Up
Little creature, how did you manage to replicate the exact likeness of one of our neighboring iterators so well? Have you traveled from afar, or is it a lucky coincidence?|Маленькое создание, как тебе удалось так точно воспроизвести одного из наших соседей-итераторов?<LINE>Ты пришёл издалека или это счастливое совпадение?
This particular piece is... Surely interesting. I am unsure of the meaning of it, but I can freely admit I do not enjoy the implications.|Этот отрывок особенно интересен... Несомненно, он интересен.<LINE>Я не уверена в его значении, но могу откровенно признаться, что его подтекст мне не нравится.
///Tsuno - Jellyfish
It is a very accurate depiction of a jellyfish, swimming with pearls.|Это очень точное изображение медузы, плавающей в жемчужинах.
If you find any pearl that you deem interesting enough, could you bring it to me? I would love to see what you may find.|Если ты найдёшь какую-нибудь жемчужину, которая покажется тебе достаточно интересной, не мог бы ты принести её мне?<LINE>Я бы с удовольствием посмотрела, что ты можешь найти.
///BreadwardBolero - Loss of Karma
Is this an attempt at replicating karma signs? I do not recognize this particular placement, so I will take it as an act of artistic freedom you took to make it look more pleasant.|Это попытка воспроизвести знаки кармы?<LINE>Мне не знакомо это конкретное размещение, поэтому я приму это как акт творческой свободы,<LINE>на который ты пошёл, чтобы сделать его более привлекательным.
While not entirely accurate, I admire your dedication, little scholar.|Хотя это и не совсем точно, я восхищаюсь твоей преданностью делу, маленький учёный.
///Tsuno - Jaws
I see that you had the unfortunate pleasure of meeting a Miros Bird? I do not advise you to continue visiting the area where they live.|Я вижу, тебе не повезло познакомиться с Стрижами? Я не советую тебе продолжать посещать район, где они обитают.
The memory crypts were considered sacred ground by my creators, which is the reason behind the existence of those beings. They are incredibly vicious, aggressively protecting the wealth of those laid to rest underneath.|Мои создатели считали склепы памяти священной землёй, что и является причиной существования этих существ.<LINE>Они невероятно злобны и агрессивно защищают богатства тех, кто покоится под ними.
Due to the nature of this art piece... I suppose you already know of their weakness to harsh light? I'm glad it helped you get past them safely.|Из-за особенностей этого произведения искусства...<LINE>Полагаю, ты уже знаешь об их слабости к резкому освещению?<LINE>Я рада, что это помогло тебе благополучно миновать их.
I suppose living in near-constant darkness does make even purposed organisms have weaknesses.|Я полагаю, что жизнь в почти постоянной темноте приводит к тому, что даже у целенаправленных организмов появляются слабости.
///Tsuno - Pop Pop Snails
It is a depiction of a species of aquatic snail that lives in the watery areas under my can. They have a very unusual ability to let out a burst of energy, which might stun any nearby creature.|Это изображение вида водных улиток, обитающих в водоёмах под моей банкой.<LINE>Они обладают очень необычной способностью испускать энергетические разряды,<LINE>которые могут оглушить любое находящееся поблизости существо.
Are the golden lines around them a depiction of that process?|Являются ли золотые линии вокруг них изображением этого процесса?
///MagicaJaphet - Explosive Trick
It is a picture of you. Are you trying to ensure that I remember you forever by putting portraits of yourself over my walls?|Это твоя фотография. Ты хочешь, чтобы я запомнила тебя навсегда, развешивая твои портреты у меня на стенах?
I do have to admit that your ability to capture bodies in motion is incredible. However... I would rather keep my walls clean, please.|Я должна признать, что твоя способность запечатлевать движущиеся тела невероятна.<LINE>Однако... Пожалуйста, я бы предпочла содержать свои стены в чистоте.
///Tsuno - Weapon Pile
I believe that it is a pile of makeshift weapons, crafted by scavengers?|Я полагаю, что это груда самодельного оружия, изготовленного мусорщиками?
